[17-Dec-2014 13:01:08 UTC] PHP Notice:  Undefined variable: user in /home/ubuntu/workspace/views/login.php on line 2
[17-Dec-2014 13:01:08 UTC] PHP Fatal error:  Call to a member function display_errors() on a non-object in /home/ubuntu/workspace/views/login.php on line 2
[17-Dec-2014 13:36:02 UTC] PHP Notice:  Undefined variable: user in /home/ubuntu/workspace/views/register.php on line 17
[17-Dec-2014 13:36:02 UTC] PHP Fatal error:  Call to a member function register() on a non-object in /home/ubuntu/workspace/views/register.php on line 17
[17-Dec-2014 13:37:21 UTC] PHP Notice:  Undefined variable: user in /home/ubuntu/workspace/views/register.php on line 17
[17-Dec-2014 13:37:21 UTC] PHP Fatal error:  Call to a member function register() on a non-object in /home/ubuntu/workspace/views/register.php on line 17
[17-Dec-2014 13:38:45 UTC] PHP Notice:  Undefined variable: user in /home/ubuntu/workspace/views/register.php on line 20
[17-Dec-2014 13:38:45 UTC] PHP Fatal error:  Call to a member function register() on a non-object in /home/ubuntu/workspace/views/register.php on line 20
[17-Dec-2014 13:42:20 UTC] PHP Notice:  Undefined variable: user in /home/ubuntu/workspace/views/register.php on line 22
[17-Dec-2014 13:42:20 UTC] PHP Fatal error:  Call to a member function register() on a non-object in /home/ubuntu/workspace/views/register.php on line 22
[17-Dec-2014 13:42:56 UTC] PHP Notice:  Undefined variable: user in /home/ubuntu/workspace/views/register.php on line 22
[17-Dec-2014 13:42:56 UTC] PHP Fatal error:  Call to a member function register() on a non-object in /home/ubuntu/workspace/views/register.php on line 22
[17-Dec-2014 13:43:14 UTC] PHP Notice:  Undefined variable: user in /home/ubuntu/workspace/views/register.php on line 24
[17-Dec-2014 13:43:14 UTC] PHP Fatal error:  Call to a member function register() on a non-object in /home/ubuntu/workspace/views/register.php on line 24
[17-Dec-2014 13:45:24 UTC] PHP Notice:  Use of undefined constant __SITE_PATH - assumed '__SITE_PATH' in /home/ubuntu/workspace/includes/init.php on line 4
[17-Dec-2014 13:45:24 UTC] PHP Warning:  include(__SITE_PATH/application/controller_base.class.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/includes/init.php on line 4
[17-Dec-2014 13:45:24 UTC] PHP Warning:  include(): Failed opening '__SITE_PATH/application/controller_base.class.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/includes/init.php on line 4
[17-Dec-2014 13:45:24 UTC] PHP Notice:  Use of undefined constant __SITE_PATH - assumed '__SITE_PATH' in /home/ubuntu/workspace/includes/init.php on line 7
